epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
65,6296.62,1.10568,0.52218,1.00391,0.9709,0.99275,0.98864,0.78561,1.26043,0.51278,1.09143,0.0001832,0.0001832,0.0001832
66,6393.27,1.09751,0.51535,0.99518,0.97399,0.98845,0.98929,0.78586,1.2596,0.51444,1.09078,0.00017825,0.00017825,0.00017825
67,6489.81,1.08917,0.51753,0.99131,0.9726,0.99299,0.98879,0.78647,1.25997,0.51028,1.09171,0.0001733,0.0001733,0.0001733
68,6586.5,1.10088,0.51668,0.99589,0.97197,0.99049,0.98877,0.78883,1.26678,0.5132,1.09174,0.00016835,0.00016835,0.00016835
69,6682.41,1.09372,0.51453,0.99064,0.9732,0.99235,0.98923,0.78921,1.25608,0.51138,1.08969,0.0001634,0.0001634,0.0001634
70,6778.55,1.09624,0.51509,0.99247,0.97233,0.99057,0.98781,0.78041,1.27813,0.51379,1.10357,0.00015845,0.00015845,0.00015845
71,6874.67,1.09011,0.51484,0.99194,0.97293,0.99247,0.98836,0.78571,1.27109,0.50636,1.09411,0.0001535,0.0001535,0.0001535
72,6970.83,1.09512,0.52054,0.99506,0.9722,0.99033,0.98823,0.7901,1.2772,0.51727,1.09942,0.00014855,0.00014855,0.00014855
73,7067.25,1.09657,0.51011,0.99521,0.97339,0.99181,0.98788,0.77923,1.28387,0.53102,1.10484,0.0001436,0.0001436,0.0001436
74,7164.42,1.0833,0.51561,0.99113,0.97208,0.98831,0.98999,0.7911,1.25551,0.51418,1.08871,0.00013865,0.00013865,0.00013865
75,7260.45,1.08614,0.50882,0.99024,0.97081,0.99265,0.9887,0.78281,1.2671,0.51366,1.09268,0.0001337,0.0001337,0.0001337
76,7356.68,1.08571,0.50922,0.99672,0.97186,0.99023,0.98817,0.78813,1.26936,0.53153,1.09738,0.00012875,0.00012875,0.00012875
77,7453.31,1.08936,0.51326,0.98872,0.97306,0.99225,0.98897,0.79149,1.2619,0.52894,1.09282,0.0001238,0.0001238,0.0001238
78,7550.19,1.08849,0.51156,0.99066,0.97343,0.98688,0.98863,0.789,1.24951,0.52059,1.08583,0.00011885,0.00011885,0.00011885
79,7646.6,1.08816,0.51274,0.99457,0.97343,0.99185,0.98838,0.78883,1.26055,0.5196,1.0919,0.0001139,0.0001139,0.0001139
80,7743.45,1.08904,0.51181,0.99445,0.97263,0.99204,0.98839,0.78836,1.27509,0.52159,1.10064,0.00010895,0.00010895,0.00010895
81,7839.95,1.08621,0.50806,0.98852,0.97299,0.99019,0.98853,0.79213,1.27279,0.53698,1.09685,0.000104,0.000104,0.000104
82,7937.18,1.09034,0.50779,0.99188,0.97243,0.99193,0.98901,0.78866,1.2586,0.51398,1.09328,9.905e-05,9.905e-05,9.905e-05
83,8033.78,1.08727,0.51347,0.99187,0.97165,0.99097,0.98861,0.78641,1.27999,0.50756,1.09985,9.41e-05,9.41e-05,9.41e-05
84,8130.19,1.08647,0.50836,0.9892,0.97288,0.98917,0.98807,0.78482,1.26842,0.50518,1.09513,8.915e-05,8.915e-05,8.915e-05
85,8226.15,1.07986,0.50711,0.98823,0.97201,0.993,0.98936,0.7872,1.26195,0.50793,1.0921,8.42e-05,8.42e-05,8.42e-05
86,8322.59,1.08873,0.50805,0.9915,0.97359,0.99193,0.98936,0.78903,1.27174,0.51758,1.09528,7.925e-05,7.925e-05,7.925e-05
87,8419.33,1.08341,0.50445,0.99303,0.97281,0.99272,0.98946,0.78926,1.2624,0.50768,1.09092,7.43e-05,7.43e-05,7.43e-05
88,8515.88,1.08637,0.50367,0.99018,0.97358,0.99288,0.98971,0.78744,1.27026,0.51442,1.0925,6.935e-05,6.935e-05,6.935e-05
89,8612.26,1.07968,0.50398,0.98711,0.97235,0.9925,0.98866,0.78548,1.26852,0.51384,1.09236,6.44e-05,6.44e-05,6.44e-05
90,8708.57,1.08188,0.5053,0.98716,0.97286,0.99245,0.98904,0.79006,1.26599,0.5119,1.09387,5.945e-05,5.945e-05,5.945e-05
91,8804.22,1.16074,0.54421,1.02317,0.97331,0.98622,0.98799,0.77669,1.28266,0.51831,1.10073,5.45e-05,5.45e-05,5.45e-05
92,8899.08,1.15424,0.53908,1.02154,0.97314,0.99029,0.98862,0.78428,1.2751,0.51044,1.09764,4.955e-05,4.955e-05,4.955e-05
93,8993.48,1.14702,0.53383,1.01407,0.97335,0.98761,0.98839,0.78429,1.27459,0.51445,1.09567,4.46e-05,4.46e-05,4.46e-05
94,9088.57,1.14516,0.53097,1.01957,0.97452,0.9873,0.98908,0.78433,1.27167,0.51685,1.09425,3.965e-05,3.965e-05,3.965e-05
95,9183.34,1.14812,0.53106,1.02152,0.97489,0.98722,0.98814,0.78607,1.27566,0.51816,1.09754,3.47e-05,3.47e-05,3.47e-05
96,9277.84,1.15003,0.53172,1.02842,0.97308,0.99402,0.98929,0.78576,1.2747,0.51374,1.09646,2.975e-05,2.975e-05,2.975e-05
97,9372.34,1.14477,0.53121,1.0178,0.97312,0.98862,0.98891,0.78588,1.27953,0.5132,1.09772,2.48e-05,2.48e-05,2.48e-05
98,9467.04,1.14541,0.52782,1.01828,0.9732,0.99243,0.98908,0.78515,1.27705,0.51281,1.09663,1.985e-05,1.985e-05,1.985e-05
99,9561.17,1.13546,0.52766,1.01914,0.97466,0.9879,0.98861,0.78524,1.27508,0.51796,1.09675,1.49e-05,1.49e-05,1.49e-05
100,9655.72,1.14574,0.53018,1.02345,0.97323,0.9913,0.98934,0.7853,1.28112,0.51614,1.09862,9.95e-06,9.95e-06,9.95e-06
